,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2002-03,CHI,82,30,52,0.366,19930,2991,6714,2642,5717,349,997,1455,2014,985,2541,3526,1782,605,461,1388,2028,7786,0.445,0.462,0.35,0.722,0.512,0.471
2002-03,CLE,82,17,65,0.207,19830,2850,6746,2557,5850,293,896,1502,2012,1118,2542,3660,1712,636,521,1501,1864,7495,0.422,0.437,0.327,0.747,0.491,0.444
2002-03,DAL,82,60,22,0.732,19780,3161,6982,2525,5314,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,8444,0.453,0.475,0.381,0.829,0.543,0.498
2002-03,DEN,82,17,65,0.207,19730,2689,6544,2460,5720,229,824,1294,1850,1112,2363,3475,1737,712,422,1514,2056,6901,0.411,0.43,0.278,0.699,0.469,0.428
2002-03,DET,82,50,32,0.61,19905,2700,6277,2167,4789,533,1488,1559,2021,883,2445,3328,1620,556,468,1104,1748,7492,0.43,0.452,0.358,0.771,0.523,0.473
2002-03,GSW,82,38,44,0.463,19755,3061,6941,2636,5706,425,1235,1853,2382,1284,2546,3830,1712,594,506,1295,1786,8400,0.441,0.462,0.344,0.778,0.526,0.472
2002-03,HOU,82,43,39,0.524,19930,2840,6461,2401,5194,439,1267,1569,2044,1024,2564,3588,1506,594,493,1276,1602,7688,0.44,0.462,0.346,0.768,0.522,0.474
2002-03,IND,82,48,34,0.585,19905,2911,6608,2532,5489,379,1119,1739,2271,1004,2622,3626,1910,696,443,1210,1811,7940,0.441,0.461,0.339,0.766,0.522,0.469
2002-03,LAC,82,27,55,0.329,19755,2835,6490,2445,5312,390,1178,1633,2177,1008,2462,3470,1605,574,461,1291,1784,7693,0.437,0.46,0.331,0.75,0.516,0.467
2002-03,LAL,82,50,32,0.61,19930,3091,6856,2605,5489,486,1367,1562,2129,1078,2554,3632,1909,639,470,1192,1874,8230,0.451,0.475,0.356,0.734,0.528,0.486
2002-03,MEM,82,28,54,0.341,19930,3049,6743,2582,5464,467,1279,1430,1936,943,2466,3409,1892,651,500,1262,1678,7995,0.452,0.473,0.365,0.739,0.526,0.487
2002-03,MIA,82,25,57,0.305,19830,2688,6517,2340,5417,348,1100,1292,1689,948,2464,3412,1501,592,324,1167,1856,7016,0.412,0.432,0.316,0.765,0.483,0.439
2002-03,MIL,82,42,40,0.512,19905,3045,6670,2460,5144,585,1526,1483,1911,876,2367,3243,1823,622,344,1044,1820,8158,0.457,0.478,0.383,0.776,0.543,0.5
2002-03,MIN,82,51,31,0.622,19805,3172,6809,2876,6005,296,804,1406,1826,959,2614,3573,2070,553,433,1124,1704,8046,0.466,0.479,0.368,0.77,0.528,0.488
2002-03,NJN,82,49,33,0.598,19755,2906,6585,2560,5544,346,1041,1662,2195,991,2528,3519,1887,717,374,1212,1772,7820,0.441,0.462,0.332,0.757,0.518,0.468
2002-03,NOH,82,47,35,0.573,19905,2914,6695,2510,5620,404,1075,1467,1910,1097,2475,3572,1807,656,394,1212,1769,7699,0.435,0.447,0.376,0.768,0.511,0.465
2002-03,NYK,82,37,45,0.451,19855,2967,6725,2361,5143,606,1582,1320,1620,842,2376,3218,1800,579,255,1149,1888,7860,0.441,0.459,0.383,0.815,0.528,0.486
2002-03,SEA,82,40,42,0.488,19855,2887,6599,2431,5308,456,1291,1325,1780,963,2385,3348,1775,679,295,1085,1712,7555,0.437,0.458,0.353,0.744,0.512,0.472
2002-03,ORL,82,42,40,0.512,19805,2947,6763,2379,5173,568,1590,1616,2079,958,2392,3350,1676,696,300,1177,1888,8078,0.436,0.46,0.357,0.777,0.526,0.478
2002-03,PHI,82,48,34,0.585,19855,2975,6640,2730,5853,245,787,1746,2253,1042,2415,3457,1771,844,284,1212,1804,7941,0.448,0.466,0.311,0.775,0.52,0.466
2002-03,PHO,82,44,38,0.537,19805,3005,6776,2611,5627,394,1149,1430,1928,1049,2440,3489,1719,665,404,1208,1801,7834,0.443,0.464,0.343,0.742,0.514,0.473
2002-03,POR,82,50,32,0.61,19855,2987,6491,2608,5341,379,1150,1450,1947,992,2378,3370,1860,725,316,1248,1634,7803,0.46,0.488,0.33,0.745,0.531,0.489
2002-03,SAC,82,59,23,0.72,19830,3242,6990,2751,5702,491,1288,1367,1832,900,2751,3651,2034,736,457,1192,1666,8342,0.464,0.482,0.381,0.746,0.535,0.499
2002-03,SAS,82,60,22,0.732,19830,2908,6297,2459,5027,449,1270,1591,2194,939,2556,3495,1636,629,529,1295,1672,7856,0.462,0.489,0.354,0.725,0.541,0.497
