,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2017-18,MIN,82,45,26,,11,101,253,49,7,2476,684,232,51,6,2569,623,20.4,81.3,240,272,21,2415,2434,49.8,1367,1295
2017-18,MTL,82,29,40,,13,71,209,52,7,2687,708,264,68,6,2650,723,21.3,74.1,244,263,-55,2395,2642,47.5,2169,1351
2017-18,NJD,82,44,29,,9,97,248,54,12,2599,694,244,47,6,2616,686,21.4,81.8,252,258,4,2371,2675,47,1816,1176
2017-18,NSH,82,53,18,,11,117,267,58,10,2641,928,211,54,5,2659,791,21.2,81.9,274,299,56,2753,2412,53.3,1656,1204
2017-18,NYI,82,35,37,,10,80,264,58,5,2572,643,296,63,11,2918,667,23.2,73.2,250,235,-32,2404,2515,48.9,1816,1262
2017-18,NYR,82,34,39,,9,77,231,51,5,2538,655,268,46,5,2898,660,21.2,81.4,241,247,-37,2384,2454,49.3,1714,1228
2017-18,OTT,82,28,43,,11,67,221,41,4,2515,667,291,56,6,2712,692,16.5,76.2,248,235,-70,2499,2470,50.3,1966,1337
2017-18,PHI,82,42,26,,14,98,251,54,3,2631,679,243,54,10,2448,737,20.7,75.8,261,223,8,2563,2249,53.3,1670,1230
2017-18,ARI,82,29,41,,12,70,208,41,2,2450,642,256,46,10,2642,678,16.9,79.5,243,224,-48,2429,2659,47.7,1999,1186
2017-18,PIT,82,47,29,,6,100,272,68,6,2823,775,250,53,3,2553,743,26.2,80,260,265,22,2572,2546,50.3,1951,1184
2017-18,SJS,82,45,27,,10,100,252,53,8,2702,630,229,34,3,2488,654,20.6,84.8,257,224,23,2558,2433,51.3,1380,1381
2017-18,STL,82,44,32,,6,94,226,38,5,2677,631,222,47,9,2438,672,15.4,79.7,246,231,4,2487,2428,50.6,1893,1278
2017-18,TBL,82,54,23,,5,113,296,66,9,2680,753,236,64,3,2683,783,23.9,76,276,267,60,2441,2621,48.2,1728,1127
2017-18,TOR,82,49,26,,7,105,277,56,4,2640,570,232,43,5,2776,566,25,81.4,224,231,45,2688,2499,51.8,1632,1104
